created_at,id,name,text,user_id,screen_name,location
Thu Feb 21 15:37:02 +0000 2019,1.09861E+18,HHB," - dartmouth to halifax (activity): traffic conditions, fair visibility, reduce speed, dartmouth bound… ",104231486,HHBridges,"Halifax, Nova Scotia, Canada"
,,,,,,
Thu Feb 21 15:37:13 +0000 2019,1.09861E+18,Chloe L-G,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",975074022,chloelgirouard,"Ottawa, Ontario"
,,,,,,
Thu Feb 21 15:37:17 +0000 2019,1.09861E+18,Justin Trudeau,"in times of tragedy, canadians are there for each other. 
",14260960,JustinTrudeau,Papineau
,,,,,,
Thu Feb 21 15:37:28 +0000 2019,1.09861E+18,Jorge Schiappacasse,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",107179612,elchappa,La Calera/ La Reina
,,,,,,
Thu Feb 21 15:37:30 +0000 2019,1.09861E+18,Simone,"rt : in times of tragedy, canadians are there for each other. 
",72095672,SimoneRacanelli,Toronto
,,,,,,
Thu Feb 21 15:37:31 +0000 2019,1.09861E+18,Arif khan,"rt : in times of tragedy, canadians are there for each other. 
",7.87209E+17,Arifkha81963827,India Jalalabad Uttarpardesh
,,,,,,
Thu Feb 21 15:37:34 +0000 2019,1.09861E+18,Tadeu Mendonca,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",9.20919E+17,tadmend,#DireitaUnida  e #DireitaSegue
,,,,,,
Thu Feb 21 15:37:35 +0000 2019,1.09861E+18,Hazel Mason,"rt : ""now, the family needs us more than ever."" syrian refugee chocolatier  tells  about why he's donatin…",290005996,Hmason36,"Brampton, On"
,,,,,,
Thu Feb 21 15:37:35 +0000 2019,1.09861E+18,Diana Mendes,"rt : in times of tragedy, canadians are there for each other. 
",83874078,mendestweets,"Ottawa, ON"
,,,,,,
Thu Feb 21 15:37:37 +0000 2019,1.09861E+18,Neelam. A,"rt : in times of tragedy, canadians are there for each other. 
",1.00997E+18,nasl05275968,"Hamilton, Ontario"
,,,,,,
Thu Feb 21 15:37:46 +0000 2019,1.09861E+18,Jessie,please support in any way you are able ‘halifax house fire tragedy' -   via ,27992942,Jessiemackay,Canada
,,,,,,
Thu Feb 21 15:37:51 +0000 2019,1.09861E+18,Offshore Wind Economics Project,oswep is excited to be at _ocean in halifax to get their offshore oil and gas supply chain up to speed on the… ,9.76175E+17,OSW_Economics,"Massachusetts, USA"
,,,,,,
Thu Feb 21 15:37:58 +0000 2019,1.09861E+18,Not Quite Shut Down Yet Computer,rt : tva nouvelles deletes a facebook post about a fire in halifax that killed seven syrian refugee children because it couldn’t h…,285774658,Hal_RTFLC,Pennsylvania
,,,,,,
Thu Feb 21 15:38:01 +0000 2019,1.09861E+18,Craig Robinson,rt : halifax hawks body checking clinic - information and registration ,23850588,ConsultingCraig,Mostly in the Canada
,,,,,,
Thu Feb 21 15:38:14 +0000 2019,1.09861E+18,Martha Rudolph,rt : vandal doughnuts is donating their their sales today to the family who tragically lost their children in a house fire and no a…,3028137003,MRudolph,
,,,,,,
Thu Feb 21 15:38:20 +0000 2019,1.09861E+18,Marc Hogue,incendie mortel à halifax :  vraiment dommage pour les maisons de chaque côté qui ont subi des dommages importants… ,7.88768E+17,Boss_Hogue,"Québec, Canada"
,,,,,,
Thu Feb 21 15:38:21 +0000 2019,1.09861E+18,Mrs. Ouellette,rt :  ,251646687,OuelletteHRSB,"Halifax, NS"
,,,,,,
Thu Feb 21 15:38:29 +0000 2019,1.09861E+18,Arif khan,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",7.87209E+17,Arifkha81963827,India Jalalabad Uttarpardesh
,,,,,,
Thu Feb 21 15:38:33 +0000 2019,1.09861E+18,Maria Garcia,"rt : dans les moments tragiques, les canadiens sont là les uns pour les autres. 
",86969345,cadetsmom,"Wichita, Ks"
,,,,,,
Thu Feb 21 15:38:41 +0000 2019,1.09861E+18,Caterina Carpanè,this is how they do it   ,146958182,katevrny,Italy
,,,,,,
Thu Feb 21 15:38:43 +0000 2019,1.09861E+18,Carlo Mallo,"rt : in times of tragedy, canadians are there for each other. 
",47353833,carlomallo,Makati | Davao
,,,,,,
